match_id,team1,team2,winner,margin,ground,matchDate
1823,Namibia,Sri Lanka,Namibia,55 runs,Geelong,2022-10-16
1825,Netherlands,U.A.E.,Netherlands,3 wickets,Geelong,2022-10-16
1826,Scotland,West Indies,Scotland,42 runs,Hobart,2022-10-17
1828,Ireland,Zimbabwe,Zimbabwe,31 runs,Hobart,2022-10-17
1830,Namibia,Netherlands,Netherlands,5 wickets,Geelong,2022-10-18
1832,Sri Lanka,U.A.E.,Sri Lanka,79 runs,Geelong,2022-10-18
1833,Ireland,Scotland,Ireland,6 wickets,Hobart,2022-10-19
1834,West Indies,Zimbabwe,West Indies,31 runs,Hobart,2022-10-19
1835,Netherlands,Sri Lanka,Sri Lanka,16 runs,Geelong,2022-10-20
1836,Namibia,U.A.E.,U.A.E.,7 runs,Geelong,2022-10-20
1837,Ireland,West Indies,Ireland,9 wickets,Hobart,2022-10-21
1838,Scotland,Zimbabwe,Zimbabwe,5 wickets,Hobart,2022-10-21
1839,Australia,New Zealand,New Zealand,89 runs,Sydney,2022-10-22
1840,Afghanistan,England,England,5 wickets,Perth,2022-10-22
1841,Ireland,Sri Lanka,Sri Lanka,9 wickets,Hobart,2022-10-23
1842,India,Pakistan,India,4 wickets,Melbourne,2022-10-23
1843,Bangladesh,Netherlands,Bangladesh,9 runs,Hobart,2022-10-24
1845,Australia,Sri Lanka,Australia,7 wickets,Perth,2022-10-25
1846,England,Ireland,Ireland,5 runs,Melbourne,2022-10-26
1848,Bangladesh,South Africa,South Africa,104 runs,Sydney,2022-10-27
1849,India,Netherlands,India,56 runs,Sydney,2022-10-27
1850,Pakistan,Zimbabwe,Zimbabwe,1 run,Perth,2022-10-27
1853,New Zealand,Sri Lanka,New Zealand,65 runs,Sydney,2022-10-29
1854,Bangladesh,Zimbabwe,Bangladesh,3 runs,Brisbane,2022-10-30
1855,Netherlands,Pakistan,Pakistan,6 wickets,Perth,2022-10-30
1856,India,South Africa,South Africa,5 wickets,Perth,2022-10-30
1857,Australia,Ireland,Australia,42 runs,Brisbane,2022-10-31
1858,Afghanistan,Sri Lanka,Sri Lanka,6 wickets,Brisbane,2022-11-01
1859,England,New Zealand,England,20 runs,Brisbane,2022-11-01
1860,Netherlands,Zimbabwe,Netherlands,5 wickets,Adelaide,2022-11-02
1861,Bangladesh,India,India,5 runs,Adelaide,2022-11-02
1862,Pakistan,South Africa,Pakistan,33 runs,Sydney,2022-11-03
1863,Ireland,New Zealand,New Zealand,35 runs,Adelaide,2022-11-04
1864,Australia,Afghanistan,Australia,4 runs,Adelaide,2022-11-04
1865,England,Sri Lanka,England,4 wickets,Sydney,2022-11-05
1866,Netherlands,South Africa,Netherlands,13 runs,Adelaide,2022-11-06
1867,Bangladesh,Pakistan,Pakistan,5 wickets,Adelaide,2022-11-06
1868,India,Zimbabwe,India,71 runs,Melbourne,2022-11-06
1869,New Zealand,Pakistan,Pakistan,7 wickets,Sydney,2022-11-09
1870,England,India,England,10 wickets,Adelaide,2022-11-10
1871,England,Pakistan,England,5 wickets,Melbourne,2022-11-13
